dishID,ingredient
rmK12Uau.ntP510KeImX506H6Mr6jTu,4 skinless boneless chicken breast halves 
rmK12Uau.ntP510KeImX506H6Mr6jTu,2 tablespoons butter 
rmK12Uau.ntP510KeImX506H6Mr6jTu,2 (10.75 ounce) cans condensed cream of chicken soup 
rmK12Uau.ntP510KeImX506H6Mr6jTu,1 onion finely diced 
rmK12Uau.ntP510KeImX506H6Mr6jTu,2 (10 ounce) packages refrigerated biscuit dough torn into pieces 
5ZpZE8hSVdPk2ZXo1mZTyoPWJRSCPSm,2 (10.75 ounce) cans condensed cream of mushroom soup 
5ZpZE8hSVdPk2ZXo1mZTyoPWJRSCPSm,1 (1 ounce) package dry onion soup mix 
5ZpZE8hSVdPk2ZXo1mZTyoPWJRSCPSm,1 1/4 cups water 
5ZpZE8hSVdPk2ZXo1mZTyoPWJRSCPSm,5 1/2 pounds pot roast 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,1/2 cup packed brown sugar 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,1/2 cup ketchup 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,1 1/2 pounds lean ground beef 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,3/4 cup milk 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,2 eggs 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,1 1/2 teaspoons salt 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,1/4 teaspoon ground black pepper 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,1 small onion chopped 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,1/4 teaspoon ground ginger 
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,3/4 cup finely crushed saltine cracker crumbs 
BmqFAmCrDHiKNwX.IQzb0U/v0mLlxFu,1 cup butter softened 
BmqFAmCrDHiKNwX.IQzb0U/v0mLlxFu,1 cup white sugar 
BmqFAmCrDHiKNwX.IQzb0U/v0mLlxFu,1 cup packed brown sugar 
BmqFAmCrDHiKNwX.IQzb0U/v0mLlxFu,2 eggs 
BmqFAmCrDHiKNwX.IQzb0U/v0mLlxFu,2 teaspoons vanilla extract 
