dishID,title,directions,time
rmK12Uau.ntP510KeImX506H6Mr6jTu,Slow Cooker Chicken and Dumplings,Place the chicken butter soup and onion in a slow cooker and fill with enough water to cover.Cover and cook for 5 to 6 hours on High. About 30 minutes before serving place the torn biscuit dough in the slow cooker. Cook until the dough is no longer raw in the center.,20 minutes
5ZpZE8hSVdPk2ZXo1mZTyoPWJRSCPSm,Awesome Slow Cooker Pot Roast,In a slow cooker mix cream of mushroom soup dry onion soup mix and water. Place pot roast in slow cooker and coat with soup mixture.Cook on High setting for 3 to 4 hours or on Low setting for 8 to 9 hours.,1 hour- 30 minutes
clyYQv.CplpwJtjNaFGhx0VilNYqRxu,Brown Sugar Meatloaf,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 5x9 inch loaf pan.Press the brown sugar in the bottom of the prepared loaf pan and spread the ketchup over the sugar.In a mixing bowl mix thoroughly all remaining ingredients and shape into a loaf. Place on top of the ketchup.Bake in preheated oven for 1 hour or until juices are clear.,2 hours
BmqFAmCrDHiKNwX.IQzb0U/v0mLlxFu,Best Chocolate Chip Cookies,Preheat oven to 350 degrees F (175 degrees C).Cream together the butter white sugar and brown sugar until smooth. Beat in the eggs one at a time then stir in the vanilla. Dissolve baking soda in hot water. Add to batter along with salt. Stir in flour chocolate chips and nuts. Drop by large spoonfuls onto ungreased pans.Bake for about 10 minutes in the preheated oven or until edges are nicely browned.,30 minutes
N.jCksRjB4MFwbgPFQU8Kg.yF.XCtOi,Homemade Mac and Cheese Casserole,Preheat oven to 350 degrees F. Line a 2-quart casserole dish with Reynolds Wrap(R) Pan Lining Paper parchment side up. No need to grease dish.Cook the pasta in a large saucepan according to the package directions adding the broccoli for the last 3 minutes of cooking. Drain. Return to the saucepan and set aside.Cook the onion and garlic in 2 tablespoons hot butter in a large skillet 5 to 7 minutes or until tender. Stir in flour salt and black pepper. Add the milk all at once. Cook and stir over medium heat until slightly thickened and bubbly. Add cheddar cheese and cream cheese stirring until melted. Pour cheese sauce over the pasta and broccoli and stir until well combined.Melt the remaining 2 tablespoons butter and mix with the bread crumbs in a small bowl. Transfer the pasta mixture to the prepared casserole dish. Top with the buttery bread crumbs.Bake uncovered about 25 minutes or until bubbly and internal temperature is 165 degrees F. Let stand for 10 minutes before serving.,1 hour
kq.naD.8G19M4UU9dVvJgHtpfo.l/eC,Banana Banana Bread,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x5 inch loaf pan.In a large bowl combine flour baking soda and salt. In a separate bowl cream together butter and brown sugar. Stir in eggs and mashed bananas until well blended. Stir banana mixture into flour mixture; stir just to moisten. Pour batter into prepared loaf pan.Bake in preheated oven for 60 to 65 minutes until a toothpick inserted into center of the loaf comes out clean. Let bread cool in pan for 10 minutes then turn out onto a wire rack.,15 minutes
lYrgWNn00EXblOupzM3tL0jGr9O0CB2,Chef John's Fisherman's Pie,Bring a large saucepan of salted water and to a boil; add russet potatoes to boiling water and cook until very tender about 20 minutes. Drain well. Mash in 3 tablespoons butter until thoroughly combined. Season with nutmeg salt black pepper and cayenne pepper to taste. Mash 1/2 cup milk into potato mixture until smooth.Drizzle olive oil in a large Dutch oven over medium-high heat add spinach and season with a big pinch of salt. Cook stirring occasionally until spinach has wilted about 1 minute. Transfer to a bowl lined with paper towels to wick away excess moisture.Heat 3 tablespoons butter and flour in a saucepan over medium heat; whisk mixture to a smooth paste. Cook stirring constantly until mixture has a nutty smell and is slightly browned about 2 minutes. Add chopped garlic; whisk until fragrant 10 to 20 seconds.Whisk 1 cup cold milk into flour mixture; cook until thickened. Whisk in remaining 1 cup milk and lemon zest. Bring white sauce to a gentle simmer whisking constantly; season with salt. Turn heat to very low and keep sauce warm.Preheat oven to 375 degrees F (190 degrees C). Grease an 8x12-inch casserole dish with 1 tablespoon butter.Season buttered pan with salt black pepper and cayenne pepper. Lay boneless cod fillets into the pan in a single layer. Season tops of fillets with more salt black pepper and cayenne pepper. Spread spinach evenly over fish and drizzle with lemon juice. Spoon white sauce over spinach; give casserole dish several taps and shakes to eliminate bubbles.Drop mashed potatoes by heaping spoonfuls over the casserole and spread smoothly to cover. Place dish onto a rimmed baking sheet to catch spills.Bake in the preheated oven until bubbling about 40 minutes. Turn on oven's broiler and broil until potato crust has a golden brown top about 2 minutes. Fish should flake easily. Let stand 10 minutes before serving. Garnish with a sprinkle of chives.,20 minutes
Fu0DgGYFUGwc0BBlN6r20o/ihOVs5bO,Mom's Zucchini Bread,Grease and flour two 8 x 4 inch pans. Preheat oven to 325 degrees F (165 degrees C).Sift flour salt baking powder soda and cinnamon together in a bowl.Beat eggs oil vanilla and sugar together in a large bowl. Add sifted ingredients to the creamed mixture and beat well. Stir in zucchini and nuts until well combined. Pour batter into prepared pans.Bake for 40 to 60 minutes or until tester inserted in the center comes out clean. Cool in pan on rack for 20 minutes. Remove bread from pan and completely cool.,2 hours
MBRNtqELRRuv8zJH4k7Aba2bmIc2A3C,The Best Rolled Sugar Cookies,In a large bowl cream together butter and sugar until smooth. Beat in eggs and vanilla. Stir in the flour baking powder and salt. Cover and chill dough for at least one hour (or overnight).Preheat oven to 400 degrees F (200 degrees C). Roll out dough on floured surface 1/4 to 1/2 inch thick. Cut into shapes with any cookie cutter. Place cookies 1 inch apart on ungreased cookie sheets.Bake 6 to 8 minutes in preheated oven. Cool completely.,1 hour
ZPyPoMiNvgAfrKcRpH9FEYV/XsPZBsW,Singapore Chili Crabs,Whisk ketchup chicken broth egg soy sauce chile-garlic sauce oyster sauce tamarind paste fish sauce and palm sugar together in a bowl.Stir shallots garlic oil ginger and serrano pepper together in a pot over medium-high heat. Saute until sizzling about 2 minutes. Add crab to pot cover the pot with a lid and shake until crab is completely coated in shallot mixture. Remove lid and cook and stir until heated through about 3 minutes.Pour ketchup mixture into pot reduce heat to medium and cook and stir until sauce thickens and crab is hot about 5 minutes. Remove from heat; stir in cilantro and green onions.,1 hour
