userID,dishID,numStars,reviewText,numUpvote
1,R31A3gO9nvhBMPeTUeaVjfCrscoGtAG,5,I LOVED IT JUST THE WAY IT IS IN YOUR RECIPE! PERFECT! AND.... Yes- I will definitely make it again! My husband absolutely LOVED it!,1413
2,Illx4V5DctVrOmdw/Oq3iL.nrtd.jsi,2,This recipe is yummy! It will please even the most finnicky eaters. I loved it!!!,108
2,.Bl2KAbYq4e78bz1Ctd..wIBW7e15dS,3,This recipe is yummy! It will please even the most finnicky eaters. I loved it!!!,2175
3,LRoHBAZFeYjviizHAQWM7LkOKdzq/N2,1,I love this recipe. The flavor is fantastic. This is a great meal to serve guests!,824
3,.1rbuOxWLedoM53ZUWGw4RIuWOxh9FS,2,I LOVED IT JUST THE WAY IT IS IN YOUR RECIPE! PERFECT! AND.... Yes- I will definitely make it again! My husband absolutely LOVED it!,2160
3,ybAYM2rjpeMIxNBRfvU3OBaykkHIp5u,2,Great Recipe - Love it and it was easy. I did double the recipe for the sauce and also cooked it longer for a thicker sauce. Will make it again for sure!!!,1708
3,V0jjYTCQK7P0RXDbYFxFnvkj/TcAyWC,5,Simple to make and delicious! I added a bit of onion powder- but that was the only change I made. My family loved it!,2130
3,TQLFlybf8VMQ1NNW42GKmam8Vh/5QQC,3,What a disappointment these cookies were.... dry and literally fell apart in crumbs. Dont think they made the cut. Sorry!,44
4,hv/wvL1iLD2kANBoUM0E6mc8PAkI5N6,4,This is easy relatively quick and no fuss. Great as a leftover. My fam loved it. Would make again. thanks.,1995
4,vYbVvMVc9wOiKn3opPqIxS1gVNSAIre,5,This is my kind of recipe...Very quick...Very easy...And very good! Thanks for sharing!,1631
4,67yG6SOpEcO5ipPEWUaqOL2KTvnZS3u,1,I made this exactly as written and my family loved it. Leftovers the next day were just as good. Thanks for the recipe!,1654
4,2DzwXff.fOu.uz79F.DR8.0nX7NlIYa,3,I made this exactly as written and my family loved it. Leftovers the next day were just as good. Thanks for the recipe!,2144
5,Jy61MpIwIJDIA/X/tyfBI6RCuAHQ4ta,2,I LOVED IT JUST THE WAY IT IS IN YOUR RECIPE! PERFECT! AND.... Yes- I will definitely make it again! My husband absolutely LOVED it!,1770
5,xrLOYL9osYcG.1Wud7ymkgulTHrojOq,3,Extremely soupy. Would not recommend,712
5,I2lwk9BQlPPMKf3yLlc3dLwa67BG0yu,2,This is easy relatively quick and no fuss. Great as a leftover. My fam loved it. Would make again. thanks.,412
5,1fwIs9Xy0U8sYd1SexLowhUaKwHEM.q,1,I LOVED IT JUST THE WAY IT IS IN YOUR RECIPE! PERFECT! AND.... Yes- I will definitely make it again! My husband absolutely LOVED it!,598
5,uKDCSodD20VCyG.XJoR8k7pN3Mn4Usm,3,I LOVED IT JUST THE WAY IT IS IN YOUR RECIPE! PERFECT! AND.... Yes- I will definitely make it again! My husband absolutely LOVED it!,633
6,2aJ2cl3CRe29W8ROwo/v41CWE2qdfaK,1,this simple recipe was better than some i have had in restaurants!!!,1036
6,DNkMQKLmcxTc8FgfTMylzdywg0.8i2K,3,This is easy relatively quick and no fuss. Great as a leftover. My fam loved it. Would make again. thanks.,1217
7,HhUppK44pVvVx.ezf6GmezqLivOByXm,2,This recipe is yummy! It will please even the most finnicky eaters. I loved it!!!,896
7,NFOSisLons3uKgwIRzlmtxbEuPmBVxm,5,I have tried this recipe both baked and grilled and it is definitely much better grilled but regardless of how you cook it it still comes out delicious! Great recipe,2143
7,HMrba2uZU/zCd7CeC5wGZTKPlPKEndS,4,I made this exactly as written and my family loved it. Leftovers the next day were just as good. Thanks for the recipe!,889
8,2NdCqkKNYdRkzGZGQ3GKB97BP2I6O6O,2,I dont normally go ga-ga over a recipe even if I like it. I have to say- however- that these were the best pork chops I have ever eaten. I chose to bake the chops due to weather. My wife even told me to go online and give it five stars. No argument from me!!,407
8,S30yAxZm08.3zpU2J4Ik0AZEnfkg0bO,4,this simple recipe was better than some i have had in restaurants!!!,836
8,SJb4jDxEHVbrvGycc7y4eo.l95i/Suy,4,This is my kind of recipe...Very quick...Very easy...And very good! Thanks for sharing!,882
8,BPCk9Sh57O8PUfTN/SIdfbHYUuunAuK,1,I have tried this recipe both baked and grilled and it is definitely much better grilled but regardless of how you cook it it still comes out delicious! Great recipe,1533
8,jTBan7Yu32ZIK.L719EiKnlUS26xbKu,3,Simple to make and delicious! I added a bit of onion powder- but that was the only change I made. My family loved it!,1747
9,SgcOdDKk.HEwZwgNgks2S.PrsXEezZS,3,This recipe is yummy! It will please even the most finnicky eaters. I loved it!!!,176
9,SJb4jDxEHVbrvGycc7y4eo.l95i/Suy,4,this simple recipe was better than some i have had in restaurants!!!,1737
9,TI4R4CZaqB29BN8XOj5zImikoLw2Ieu,5,Extremely easy and good!!!!,515
9,AaYuRg0XtVq3qnkTwH9MdHvC65qKRsG,2,Not my favorite. Maybe we did something wrong but we wont be using this recipe again.,1344
10,99PNE9tq7cmoGh5LvVtzOhXxYiw9qnC,2,Simple to make and delicious! I added a bit of onion powder- but that was the only change I made. My family loved it!,378
10,8yczB40n/hev2xe0t4RecozPoNPk8Yu,5,I dont normally go ga-ga over a recipe even if I like it. I have to say- however- that these were the best pork chops I have ever eaten. I chose to bake the chops due to weather. My wife even told me to go online and give it five stars. No argument from me!!,40
11,1hWWkuZ9M7RQs6q3AbAuzKLHYlOHBt2,1,Not my favorite. Maybe we did something wrong but we wont be using this recipe again.,1100
11,xnjwYdh.H9w34Sl6Magj5a/O/aZfdO.,1,Extremely soupy. Would not recommend,1569
